[2021-06-14 00:27:09,887: WARNING/ForkPoolWorker-6] 60748417 function calls (60137521 primitive calls) in 48.617 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    75840    0.417    0.000    1.911    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/cast.py:298(maybe_promote)
   663709    0.816    0.000    1.813    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/common.py:1886(_is_dtype_type)
    37920    0.061    0.000    1.536    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexes/base.py:4804(get_indexer_for)
    56895    0.354    0.000    1.518    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/series.py:197(__init__)
   986048    0.896    0.000    1.518    0.000 /usr/lib/python3.6/abc.py:180(__instancecheck__)
    85340    0.344    0.000    1.487    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/arrays/datetimelike.py:410(__getitem__)
    37921    0.180    0.000    1.456    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/nanops.py:239(_get_values)
    75840    1.159    0.000    1.450    0.000 {method 'get_indexer' of 'pandas._libs.index.DatetimeEngine' objects}
   379272    0.460    0.000    1.337    0.000 {pandas._libs.lib.is_scalar}
    56899    0.163    0.000    1.318    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/internals/blocks.py:3258(make_block)
   189621    1.300    0.000    1.300    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    75840    0.119    0.000    1.280    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexing.py:1710(_validate_key)
    56895    0.211    0.000    1.228    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/internals/managers.py:1470(__init__)
    75846    0.350    0.000    1.137    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/arrays/datetimes.py:335(__init__)
   151717    0.114    0.000    1.113    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/common.py:608(is_period_dtype)
   360329    0.398    0.000    1.086    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/common.py:1743(is_extension_array_dtype)
    37926    0.209    0.000    1.075    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexes/datetimelike.py:158(equals)
    75846    0.091    0.000    1.065    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/common.py:1684(is_extension_type)
   530894    0.419    0.000    1.022    0.000 {pandas._libs.lib.is_list_like}
   151717    0.227    0.000    0.999    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/dtypes.py:912(is_dtype)
   246523    0.101    0.000    0.992    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/common.py:678(is_categorical_dtype)
    37920    0.321    0.000    0.937    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexing.py:1138(_validate_read_indexer)
1659486/1659474    0.757    0.000    0.916    0.000 {built-in method builtins.hasattr}
    75845    0.090    0.000    0.823    0.000 {method 'sum' of 'numpy.ndarray' objects}
   322325    0.240    0.000    0.807    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/generic.py:426(_get_axis)
    37921    0.279    0.000    0.793    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/algorithms.py:1481(_get_take_nd_function)
1365703/796697    0.497    0.000    0.779    0.000 {built-in method builtins.len}
   170665    0.172    0.000    0.749    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/common.py:508(is_datetime64_dtype)
    18960    0.608    0.000    0.746    0.000 {pandas._libs.tslib.array_with_unit_to_datetime}
    75845    0.042    0.000    0.733    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/numpy/core/_methods.py:34(_sum)
    37920    0.101    0.000    0.701    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/nanops.py:1187(_maybe_null_out)
   151700    0.280    0.000    0.667    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/numpy/core/numeric.py:2656(seterr)
    18976    0.085    0.000    0.666    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/internals/blocks.py:3212(get_block_type)
    37920    0.064    0.000    0.655    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexing.py:150(_get_label)
   132747    0.075    0.000    0.642    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/common.py:642(is_interval_dtype)
   208560    0.118    0.000    0.632    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/inference.py:246(is_array_like)
   265440    0.155    0.000    0.614    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexers.py:13(is_list_like_indexer)
  1518263    0.611    0.000    0.611    0.000 /usr/lib/python3.6/_weakrefset.py:70(__contains__)
   189624    0.146    0.000    0.606    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/common.py:577(is_timedelta64_dtype)
    37920    0.067    0.000    0.600    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/numpy/core/fromnumeric.py:2664(prod)
    37920    0.077    0.000    0.583    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/generic.py:3615(xs)
    94822    0.139    0.000    0.567    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/dtypes.py:1092(is_dtype)
    94822    0.063    0.000    0.559    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/common.py:357(is_categorical)
    37920    0.159    0.000    0.533    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
   132748    0.272    0.000    0.529    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/common.py:255(is_sparse)
    37922    0.054    0.000    0.509    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/nanops.py:196(_maybe_get_mask)
    47404    0.121    0.000    0.506    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexes/datetimelike.py:476(_convert_scalar_indexer)
   587824    0.297    0.000    0.504    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/common.py:1850(_get_dtype)
   625752    0.339    0.000    0.496    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/common.py:2020(pandas_dtype)
   360329    0.350    0.000    0.494    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/dtypes.py:83(find)
    75873    0.177    0.000    0.484    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/numpy/core/_dtype.py:319(_name_get)
   227530    0.210    0.000    0.482    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/common.py:862(is_dtype_equal)
    66376    0.368    0.000    0.480    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/arrays/datetimes.py:603(<lambda>)
   303461    0.132    0.000    0.476    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexes/base.py:723(__len__)
    37925    0.057    0.000    0.474    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/internals/blocks.py:267(make_block_same_class)
    56910    0.213    0.000    0.474    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/generic.py:5181(__setattr__)
369781/369773    0.460    0.000    0.460    0.000 {built-in method numpy.array}
   113775    0.107    0.000    0.458    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/common.py:1585(is_float_dtype)
    37920    0.117    0.000    0.456    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexing.py:1727(_is_scalar_access)
    85324    0.144    0.000    0.452    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexes/base.py:3104(_convert_scalar_indexer)
    75850    0.082    0.000    0.449    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/numpy/core/numeric.py:3058(__enter__)
   151692    0.200    0.000    0.447    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/arrays/datetimes.py:2103(_validate_dt64_dtype)
    37923    0.053    0.000    0.447    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/nanops.py:345(_wrap_results)
   322327    0.310    0.000    0.437    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/generic.py:413(_get_axis_name)
   313016    0.168    0.000    0.421    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
   388723    0.197    0.000    0.418    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/arrays/datetimes.py:627(tz)
    37920    0.094    0.000    0.403    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexing.py:270(_convert_scalar_indexer)
265482/265474    0.111    0.000    0.395    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/numpy/core/numeric.py:469(asarray)
    37921    0.204    0.000    0.386    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/frame.py:2964(__getitem__)
   208576    0.297    0.000    0.383    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/arrays/datetimes.py:410(_simple_new)
    56899    0.171    0.000    0.381    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/internals/blocks.py:120(__init__)
    75850    0.078    0.000    0.377    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/numpy/core/numeric.py:3063(__exit__)
75851/75850    0.078    0.000    0.374    0.000 {built-in method builtins.any}
1860431/1858612    0.355    0.000    0.364    0.000 {built-in method builtins.issubclass}
    47404    0.082    0.000    0.361    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexes/numeric.py:238(_convert_scalar_indexer)
    75845    0.039    0.000    0.342    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/numpy/core/_methods.py:42(_any)
    18960    0.077    0.000    0.340    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/arrays/datetimes.py:967(tz_localize)
    75865    0.063    0.000    0.325    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/common.py:225(is_object_dtype)
   132734    0.148    0.000    0.324    0.000 {pandas._libs.lib.values_from_object}
   492976    0.232    0.000    0.315    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexes/datetimes.py:394(dtype)
